iter	Logloss
0	0.6676327332
1	0.6448255928
2	0.6268450079
3	0.6116904492
4	0.5988012513
5	0.5855042318
6	0.5748763218
7	0.5661066743
8	0.5564927861
9	0.5482128243
10	0.5418110709
11	0.5343165334
12	0.5275199039
13	0.5221234199
14	0.517332612
15	0.5128920652
16	0.5087083578
17	0.5052212802
18	0.5011011575
19	0.4973887541
20	0.494485719
21	0.4917929668
22	0.4886929927
23	0.4865327208
24	0.484510705
25	0.4822745307
26	0.47951511
27	0.4773850605
28	0.4751169811
29	0.47335654
30	0.4718494832
31	0.4694325129
32	0.4680832103
33	0.4655188504
34	0.4640154624
35	0.4628544612
36	0.4614439069
37	0.4601380949
38	0.4584056552
39	0.4571201649
40	0.4561648648
41	0.4552454659
42	0.4540707533
43	0.4534704648
44	0.4521959132
45	0.4510243817
46	0.4501644448
47	0.4486306751
48	0.4474334258
49	0.4464356141
50	0.4452461318
51	0.4445777609
52	0.4434930587
53	0.4423454161
54	0.4404413704
55	0.43965928
56	0.4390713432
57	0.4384849412
58	0.4377772792
59	0.4372206793
60	0.4366147593
61	0.4349741195
62	0.4341461606
63	0.4334156902
64	0.4328106116
65	0.4322177317
66	0.4317247888
67	0.4312456745
68	0.4307390233
69	0.4302174864
70	0.4299115048
71	0.429290149
72	0.4287446184
73	0.4282203004
74	0.426623882
75	0.4261408317
76	0.4258075827
77	0.424545038
78	0.4239906654
79	0.4236306696
80	0.4229040133
81	0.4223587877
82	0.4220033066
83	0.4215722315
84	0.4206705267
85	0.4202163929
86	0.4195720831
87	0.4192740372
88	0.4185112765
89	0.4183017272
90	0.4177422312
91	0.417396754
92	0.4171370571
93	0.4166273522
94	0.4161652631
95	0.415596995
96	0.4153628107
97	0.4145048999
98	0.414171542
99	0.4139399152
