iter	Passed	Remaining
0	58	5811
1	60	2959
2	61	1990
3	62	1506
4	63	1214
5	65	1019
6	66	880
7	67	776
8	68	694
9	69	628
10	71	574
11	72	530
12	73	491
13	74	457
14	75	428
15	76	403
16	78	381
17	79	360
18	80	342
19	81	325
20	82	311
21	83	297
22	85	284
23	86	272
24	87	262
25	88	251
26	89	242
27	91	234
28	92	226
29	93	218
30	94	210
31	95	203
32	96	196
33	98	190
34	99	184
35	100	178
36	101	172
37	102	167
38	103	162
39	105	157
40	106	152
41	107	148
42	108	143
43	109	139
44	110	135
45	112	131
46	113	127
47	114	123
48	115	119
49	116	116
50	117	112
51	118	109
52	119	105
53	120	102
54	121	99
55	122	96
56	123	93
57	125	90
58	126	87
59	127	84
60	128	81
61	129	79
62	130	76
63	131	73
64	132	71
65	133	68
66	134	66
67	135	63
68	137	61
69	138	59
70	139	56
71	140	54
72	141	52
73	142	50
74	143	47
75	144	45
76	145	43
77	146	41
78	147	39
79	149	37
80	150	35
81	151	33
82	152	31
83	153	29
84	154	27
85	155	25
86	156	23
87	157	21
88	159	19
89	160	17
90	161	15
91	162	14
92	164	12
93	165	10
94	166	8
95	167	6
96	168	5
97	170	3
98	171	1
99	172	0
